Фракции / Организации

Rhodes Island → Родос Айленд | тип: организация
Reunion Movement → Повстанцы «Реюнион» | тип: фракция
Lungmen Guard Department (LGD) → Департамент охраны Лунмнена | тип: гос. структура
Yan → Янь | тип: государство
Ursus → Урсус | тип: государство
Victoria → Виктория | тип: государство
Laterano → Латерано | тип: государство
Higashi → Хигаси | тип: государство
Sami → Сами | тип: регион/государство
Kazdel → Каздел | тип: государство (родина Казимиеша/Реинюон)
Kazimierz → Казимиеж | тип: государство
Kjerag → Кьераг | тип: государство/регион
Bolivar → Боливар | тип: государство
Columbia → Колумбия | тип: государство
Leithanien → Лейтаниен | тип: государство
Iberia → Иберия | тип: государство
Abyssal Hunters → Охотники Бездны | тип: группа
Blacksteel Worldwide → Блэкстил | тип: PMC
Penguin Logistics → Пингвин Лоджистикс | тип: компания
Rhine Lab → Лаборатории Райн | тип: корпорация
Victorian Knight Order → Орден Викторианских Рыцарей | тип: воен. организация
Adeptus Sprawiedliwy → Адептус Справедливый | тип: отдельный рыцарский титул

Термины / Механики

Originium → Оригинит | категория: ресурс
Originium Arts → Искусства Оригинита | категория: магия
Oripathy → Орипатия | категория: болезнь
Infected → Инфицированные | категория: статус
Operators → Операторы | категория: персонажи
Doctor → Доктор | роль игрока
Terra → Терра | категория: мир
Catastrophe → Катастрофа | категория: явление
Catastrophe Messenger → Вестник катастроф | категория: профессия
Sarkaz → Сарказ | категория: раса
Lungmen → Лунмэн | категория: город-государство
Rhodes Island Pharmaceutical → Фармацевтика Родос Айленда | тип: корпорация
Originium Slugs → Оригинитовые слизни | категория: враги

Персонажи

Amiya -> Амилия | пол: женский
Exusiai -> Экзусия | пол: женский
SilverAsh -> СильверЭш | пол: мужской
Ch'en -> Чэнь | пол: женский
Ifrit -> Ифрит | пол: женский
Eyjafjalla -> Эйяфьялла | пол: женский
Saria -> Сария | пол: женский
Angelina -> Ангелина | пол: женский
Skadi -> Скади | пол: женский
Schwarz -> Шварц | пол: женский
Blaze -> Блейз | пол: женский
Bagpipe -> Бэгпайп | пол: женский
Siege -> Сидж | пол: женский
Hoshiguma -> Хосигума | пол: женский
Mudrock -> Мадрок | пол: женский
Mountain -> Маунтин | пол: мужской
Thorns -> Торнс | пол: мужской
Surtr -> Суртр | пол: женский
Phantom -> Фантом | пол: мужской
W -> W | пол: женский
Rosmontis -> Росмонтис | пол: женский
Nian -> Нянь | пол: женский
Dusk -> Сумрак | пол: женский
Ling -> Лин | пол: женский
Lee -> Ли | пол: мужской
Goldenglow -> Голденглоу | пол: женский
Texas -> Техас | пол: женский
Lappland -> Лаппланд | пол: женский
Projekt Red -> Проект Ред | пол: женский
Blue Poison -> Блю Пойзон | пол: женский
Firewatch -> Файрвотч | пол: женский
Ptilopsis -> Птилопсис | пол: женский
Warfarin -> Варфарин | пол: женский
Aosta -> Аоста | пол: мужской
Specter -> Спектер | пол: женский
Melantha -> Меланта | пол: женский
Gravel -> Грэвел | пол: женский
Shaw -> Шо | пол: женский
Platinum -> Платина | пол: женский
Kroos -> Крус | пол: женский
Courier -> Курьер | пол: мужской
Courier (Amiya skin) -> Курьер (скин) | пол: мужской
Myrtle -> Миртл | пол: женский
Suzuran -> Судзуран | пол: женский
Nearl the Radiant Knight -> Нирл, Светлый Рыцарь | пол: женский
Liskarm -> Лискарм | пол: женский
Castle-3 -> Кастл-3 | пол: женский
Sussurro -> Сусурро | пол: женский
Melantha -> Меланта | пол: женский
Plume -> Плюм | пол: женский
Gavial -> Гавиал | пол: женский
Greythroat -> Грейтроат | пол: женский
Adnachiel -> Адначиэль | пол: мужской
Magallan -> Магаллан | пол: женский
Eunectes -> Эункетес | пол: женский
Vigna -> Вигна | пол: женский
Hibiscus -> Гибискус | пол: женский
Jessica -> Джессика | пол: женский
Amiya (Rex) -> Амилия (Рекс) | пол: женский
Exusiai (Skin) -> Экзусия (скин) | пол: женский
Skadi the Corrupting Heart -> Скади (особая) | пол: женский
Nightmare -> Найтмэр | пол: женский
Nightingale -> Найтингейл | пол: женский
Pramanix -> Праманикс | пол: женский
Saria (Skin) -> Сария (скин) | пол: женский
Ifrit (Skin) -> Ифрит (скин) | пол: женский
Elysium -> Элизий | пол: женский
Gnosis -> Гнозис | пол: мужской
Lava -> Лава | пол: женский
Beeswax -> Бисвакс | пол: женский
Hercules (Operator) -> Геркулес | пол: мужской
Gummy -> Гамми | пол: женский
Scavenger -> Скэвенджер | пол: мужской
Executor -> Исполнитель | пол: мужской
Zima -> Зима | пол: женский
Sora -> Сора | пол: женский
Istina -> Истина | пол: женский
Arene -> Арене | пол: женский
Courier (Male) -> Курьер (мужской) | пол: мужской
Mint -> Мят | пол: женский
Bibeak -> Бибаак | пол: женский
Platinum (Skin) -> Платина (скин) | пол: женский
Haze -> Хейз | пол: женский
Vulcan -> Вулкан | пол: мужской
Reed -> Рид | пол: мужской
Mousse -> Мусс | пол: женский
Shamare -> Шамаре | пол: женский
Saga -> Сага | пол: женский
Mon3tr -> Монетр | пол: мужской
Saga (Skin) -> Сага (скин) | пол: женский
Kjerag -> Кьераг | пол: мужской
Ambriel -> Амбриэль | пол: женский
Elysium (Alt) -> Элизий (альт) | пол: женский
May -> Мэй | пол: женский
Lava (Alt) -> Лава (альт) | пол: женский
Copper -> Коппер | пол: мужской
Quartz -> Кварц | пол: женский
Pavise -> Павис | пол: женский
Meteor -> Метеор | пол: мужской
Greythorn -> Грейторн | пол: мужской
Sideroca -> Сидерока | пол: женский
Breeze -> Бриз | пол: женский
Horizon -> Горизонт | пол: мужской
Saria (Alt) -> Сария (альт) | пол: женский
Kal'tsit -> Кальцит | пол: женский
Mlynar -> Млынар | пол: мужской
Chongyue -> Чонъюэ | пол: мужской
Ines -> Инес | пол: женский
